Distance_(microns),Gray_Value
0.0000,980.823
0.1625,1618.196
0.3249,2158.470
0.4874,2518.035
0.6498,2776.602
0.8123,3007.125
0.9748,3332.176
1.1372,3610.416
1.2997,3966.022
1.4622,4338.552
1.6246,4723.643
1.7871,4931.737
1.9495,5136.007
2.1120,5347.008
2.2745,5438.574
2.4369,5424.780
2.5994,5048.881
2.7619,4529.966
2.9243,3938.256
3.0868,3560.758
3.2492,3169.877
3.4117,2974.489
3.5742,2991.802
3.7366,2912.020
3.8991,2831.929
4.0616,2881.043
4.2240,2928.484
4.3865,2974.685
4.5489,2963.975
4.7114,3105.278
4.8739,3195.748
5.0363,3262.387
5.1988,3390.542
5.3613,3673.325
5.5237,3860.405
5.6862,4198.393
5.8486,4553.552
6.0111,4750.931
6.1736,4989.044
6.3360,5094.733
6.4985,5148.732
6.6610,5133.723
6.8234,5290.999
6.9859,5029.805
7.1483,5165.798
7.3108,5105.463
7.4733,5155.072
7.6357,5030.250
7.7982,4996.088
7.9607,4867.872
8.1231,4844.157
8.2856,4812.907
8.4480,4676.421
8.6105,4706.209
8.7730,4614.799
8.9354,4535.572
9.0979,4606.912
9.2604,4691.550
9.4228,4571.565
9.5853,4536.065
9.7477,4428.210
9.9102,4447.333
10.0727,4361.474
10.2351,4389.378
10.3976,4489.401
10.5601,4530.365
10.7225,4452.041
10.8850,4404.696
11.0474,4287.497
11.2099,4281.431
11.3724,4156.578
11.5348,4113.390
11.6973,4149.273
11.8598,4183.483
12.0222,4207.765
12.1847,4099.277
12.3471,4052.975
12.5096,4032.080
12.6721,3938.113
12.8345,4032.831
12.9970,4010.160
13.1595,4028.273
13.3219,4074.619
13.4844,4038.589
13.6468,4004.978
13.8093,3971.615
13.9718,4033.219
14.1342,4129.212
14.2967,4195.232
14.4592,4234.227
14.6216,4284.313
14.7841,4382.937
14.9465,4435.607
15.1090,4484.223
15.2715,4566.687
15.4339,4588.731
15.5964,4728.920
15.7589,4751.221
15.9213,4779.532
16.0838,4838.193
16.2462,4748.866
16.4087,4847.211
16.5712,4760.325
16.7336,4846.187
16.8961,4847.500
17.0586,4736.165
17.2210,4908.191
17.3835,4958.388
17.5459,4944.786
17.7084,4945.066
17.8709,4922.059
18.0333,4902.401
18.1958,4884.336
18.3583,4986.872
18.5207,5003.867
18.6832,5185.643
18.8456,5156.046
19.0081,5132.320
19.1706,5118.475
19.3330,5111.423
19.4955,5114.814
19.6580,5305.430
19.8204,5386.084
19.9829,5473.049
20.1453,5501.279
20.3078,5432.326
20.4703,5580.398
20.6327,5636.114
20.7952,5786.834
20.9577,5680.154
21.1201,5675.467
21.2826,5793.363
21.4450,5854.622
21.6075,5990.686
21.7700,5964.240
21.9324,6076.893
22.0949,6048.770
22.2574,6155.499
22.4198,6126.556
22.5823,6115.699
22.7447,6035.656
22.9072,5941.921
23.0697,5834.179
23.2321,5732.310
23.3946,5556.664
23.5571,5615.306
23.7195,5784.962
23.8820,5717.175
24.0444,5835.441
24.2069,5920.702
24.3694,6035.750
24.5318,5899.355
24.6943,5873.896
24.8568,5806.486
25.0192,5713.755
25.1817,5626.807
25.3441,5493.160
25.5066,5413.868
25.6691,5219.350
25.8315,5173.218
25.9940,5041.107
26.1565,4904.540
26.3189,4822.914
26.4814,4822.259
26.6438,4693.357
26.8063,4670.434
26.9688,4585.751
27.1312,4621.596
27.2937,4723.862
27.4562,4856.396
27.6186,4891.028
27.7811,5023.770
27.9435,5094.783
28.1060,5122.776
28.2685,5346.535
28.4309,5386.724
28.5934,5377.015
28.7559,5280.771
28.9183,5195.237
29.0808,4930.778
29.2432,4741.661
29.4057,4269.717
29.5682,3782.814
29.7306,3395.529
29.8931,3149.123
30.0556,2839.520
30.2180,2595.621
30.3805,2526.961
30.5429,2503.764
30.7054,2552.516
30.8679,2660.202
31.0303,2927.887
31.1928,3259.560
31.3553,3669.791
31.5177,4057.224
31.6802,4489.586
31.8426,4592.150
32.0051,4317.866
32.1676,3875.421
32.3300,3278.056
32.4925,2437.358
32.6549,1562.319
32.8174,926.424
32.9799,518.894
33.1423,329.031
