Distance_(microns),Gray_Value
0.0000,133.128
0.1625,145.984
0.3249,155.017
0.4874,160.719
0.6498,166.997
0.8123,181.323
0.9748,189.425
1.1372,213.818
1.2997,223.766
1.4622,223.911
1.6246,232.680
1.7871,254.115
1.9495,305.538
2.1120,326.286
2.2745,337.496
2.4369,403.250
2.5994,405.836
2.7619,375.695
2.9243,385.271
3.0868,410.476
3.2492,409.053
3.4117,391.457
3.5742,369.579
3.7366,383.033
3.8991,405.396
4.0616,425.924
4.2240,434.926
4.3865,470.212
4.5489,477.909
4.7114,481.484
4.8739,519.743
5.0363,542.019
5.1988,574.635
5.3613,627.867
5.5237,674.642
5.6862,769.375
5.8486,771.362
6.0111,819.329
6.1736,864.726
6.3360,889.304
6.4985,932.149
6.6610,951.587
6.8234,965.817
6.9859,908.522
7.1483,800.697
7.3108,769.969
7.4733,730.178
7.6357,651.798
7.7982,599.866
7.9607,545.571
8.1231,525.438
8.2856,507.555
8.4480,470.393
8.6105,464.146
8.7730,515.659
8.9354,525.239
9.0979,544.808
9.2604,523.948
9.4228,477.221
9.5853,472.775
9.7477,405.596
9.9102,384.580
10.0727,405.439
10.2351,430.116
10.3976,460.674
10.5601,475.941
10.7225,514.718
10.8850,523.914
11.0474,504.992
11.2099,472.038
11.3724,470.855
11.5348,480.436
11.6973,506.378
11.8598,506.522
12.0222,513.698
12.1847,529.423
12.3471,536.837
12.5096,541.459
12.6721,521.578
12.8345,470.410
12.9970,457.536
13.1595,488.830
13.3219,463.141
13.4844,473.347
13.6468,460.660
13.8093,456.064
13.9718,454.892
14.1342,483.223
14.2967,526.605
14.4592,525.912
14.6216,528.399
14.7841,563.224
14.9465,577.395
15.1090,582.931
15.2715,565.592
15.4339,534.995
15.5964,499.166
15.7589,491.212
15.9213,488.436
16.0838,462.210
16.2462,464.863
16.4087,469.817
16.5712,444.135
16.7336,434.487
16.8961,414.375
17.0586,407.974
17.2210,430.495
17.3835,418.904
17.5459,402.883
17.7084,392.382
17.8709,404.340
18.0333,405.649
18.1958,418.646
18.3583,400.578
18.5207,370.359
18.6832,386.750
18.8456,376.869
19.0081,376.017
19.1706,392.189
19.3330,390.782
19.4955,375.170
19.6580,387.900
19.8204,374.432
19.9829,355.795
20.1453,365.749
20.3078,398.262
20.4703,382.705
20.6327,382.912
20.7952,396.360
20.9577,413.351
21.1201,436.190
21.2826,418.387
21.4450,408.428
21.6075,392.084
21.7700,367.932
21.9324,388.108
22.0949,408.163
22.2574,410.391
22.4198,427.151
22.5823,455.809
22.7447,440.001
22.9072,417.803
23.0697,399.350
23.2321,390.382
23.3946,359.134
23.5571,339.025
23.7195,357.931
23.8820,364.285
24.0444,382.223
24.2069,390.074
24.3694,419.965
24.5318,452.312
24.6943,404.415
24.8568,386.245
25.0192,376.166
25.1817,385.484
25.3441,377.348
25.5066,369.775
25.6691,373.089
25.8315,367.690
25.9940,376.476
26.1565,338.245
26.3189,356.633
26.4814,350.000
26.6438,359.449
26.8063,392.202
26.9688,380.178
27.1312,353.055
27.2937,340.558
27.4562,355.407
27.6186,391.857
27.7811,455.272
27.9435,509.898
28.1060,564.004
28.2685,627.150
28.4309,727.091
28.5934,804.228
28.7559,845.709
28.9183,880.448
29.0808,910.814
29.2432,968.407
29.4057,938.846
29.5682,828.724
29.7306,752.107
29.8931,667.136
30.0556,606.487
30.2180,505.874
30.3805,486.613
30.5429,483.348
30.7054,476.770
30.8679,436.332
31.0303,398.108
31.1928,370.762
31.3553,331.878
31.5177,277.816
31.6802,238.509
31.8426,238.836
32.0051,244.592
32.1676,244.619
32.3300,224.739
32.4925,204.723
32.6549,182.357
32.8174,161.867
32.9799,148.161
33.1423,141.737
