Distance_(microns),Gray_Value
0.0000,138.674
0.1625,141.505
0.3249,154.939
0.4874,155.370
0.6498,161.395
0.8123,173.228
0.9748,184.637
1.1372,208.819
1.2997,234.150
1.4622,237.160
1.6246,236.944
1.7871,247.955
1.9495,271.950
2.1120,310.908
2.2745,329.922
2.4369,388.446
2.5994,422.112
2.7619,376.118
2.9243,370.954
3.0868,388.261
3.2492,392.077
3.4117,396.150
3.5742,380.628
3.7366,380.243
3.8991,404.371
4.0616,416.166
4.2240,435.504
4.3865,451.117
4.5489,465.762
4.7114,507.494
4.8739,526.155
5.0363,518.938
5.1988,567.761
5.3613,637.065
5.5237,677.243
5.6862,717.100
5.8486,795.493
6.0111,824.357
6.1736,885.124
6.3360,944.399
6.4985,958.607
6.6610,987.383
6.8234,980.336
6.9859,936.552
7.1483,894.153
7.3108,856.928
7.4733,790.041
7.6357,733.686
7.7982,690.983
7.9607,626.224
8.1231,599.936
8.2856,564.105
8.4480,513.988
8.6105,491.315
8.7730,501.690
8.9354,554.434
9.0979,592.216
9.2604,574.326
9.4228,527.760
9.5853,488.403
9.7477,459.703
9.9102,460.565
10.0727,419.914
10.2351,428.665
10.3976,472.491
10.5601,510.293
10.7225,515.955
10.8850,539.490
11.0474,538.898
11.2099,532.800
11.3724,516.958
11.5348,518.031
11.6973,510.332
11.8598,516.387
12.0222,512.887
12.1847,546.135
12.3471,584.677
12.5096,599.342
12.6721,587.676
12.8345,536.361
12.9970,513.425
13.1595,503.155
13.3219,522.402
13.4844,507.082
13.6468,488.723
13.8093,464.058
13.9718,483.011
14.1342,519.743
14.2967,542.162
14.4592,602.985
14.6216,589.489
14.7841,600.195
14.9465,623.749
15.1090,644.147
15.2715,649.661
15.4339,629.523
15.5964,572.475
15.7589,544.528
15.9213,530.725
16.0838,493.389
16.2462,458.849
16.4087,475.065
16.5712,499.243
16.7336,472.136
16.8961,427.112
17.0586,419.433
17.2210,432.749
17.3835,431.357
17.5459,461.708
17.7084,490.498
17.8709,474.751
18.0333,518.715
18.1958,543.831
18.3583,539.233
18.5207,535.584
18.6832,452.387
18.8456,446.447
19.0081,471.212
19.1706,484.121
19.3330,471.917
19.4955,461.852
19.6580,458.535
19.8204,444.301
19.9829,446.959
20.1453,446.706
20.3078,464.925
20.4703,462.453
20.6327,449.422
20.7952,478.931
20.9577,486.885
21.1201,485.878
21.2826,502.987
21.4450,507.737
21.6075,485.334
21.7700,457.613
21.9324,462.191
22.0949,456.627
22.2574,447.534
22.4198,440.260
22.5823,458.341
22.7447,470.881
22.9072,471.319
23.0697,453.494
23.2321,434.386
23.3946,409.547
23.5571,386.321
23.7195,385.803
23.8820,417.584
24.0444,425.476
24.2069,432.324
24.3694,413.260
24.5318,446.887
24.6943,446.759
24.8568,447.721
25.0192,413.158
25.1817,424.250
25.3441,425.103
25.5066,402.401
25.6691,414.499
25.8315,384.538
25.9940,394.994
26.1565,373.659
26.3189,371.264
26.4814,373.597
26.6438,386.513
26.8063,418.290
26.9688,433.185
27.1312,411.261
27.2937,396.461
27.4562,382.778
27.6186,409.659
27.7811,462.779
27.9435,547.887
28.1060,614.354
28.2685,654.505
28.4309,754.235
28.5934,821.914
28.7559,893.656
28.9183,966.813
29.0808,1004.804
29.2432,1025.359
29.4057,1009.268
29.5682,1004.357
29.7306,952.831
29.8931,778.813
30.0556,673.886
30.2180,596.933
30.3805,545.491
30.5429,512.239
30.7054,504.909
30.8679,469.416
31.0303,435.373
31.1928,383.142
31.3553,362.703
31.5177,328.369
31.6802,283.042
31.8426,256.871
32.0051,235.461
32.1676,251.759
32.3300,248.321
32.4925,228.152
32.6549,215.898
32.8174,176.542
32.9799,147.863
