Distance_(microns),Gray_Value
0.0000,139.689
0.1625,137.568
0.3249,136.834
0.4874,134.450
0.6498,138.649
0.8123,145.011
0.9748,146.067
1.1372,141.344
1.2997,143.488
1.4622,149.215
1.6246,158.063
1.7871,159.507
1.9495,163.620
2.1120,170.876
2.2745,171.037
2.4369,171.521
2.5994,178.692
2.7619,184.214
2.9243,191.814
3.0868,200.327
3.2492,201.768
3.4117,196.458
3.5742,197.627
3.7366,197.829
3.8991,199.658
4.0616,201.880
4.2240,203.291
4.3865,207.835
4.5489,211.461
4.7114,211.666
4.8739,216.249
5.0363,229.530
5.1988,244.244
5.3613,251.120
5.5237,245.074
5.6862,284.496
5.8486,308.834
6.0111,292.482
6.1736,315.440
6.3360,329.967
6.4985,336.187
6.6610,346.204
6.8234,364.696
6.9859,364.564
7.1483,365.763
7.3108,374.413
7.4733,393.319
7.6357,383.561
7.7982,377.489
7.9607,386.463
8.1231,388.270
8.2856,401.744
8.4480,390.361
8.6105,370.765
8.7730,374.554
8.9354,384.260
9.0979,382.646
9.2604,390.200
9.4228,374.807
9.5853,367.945
9.7477,381.998
9.9102,396.858
10.0727,388.269
10.2351,379.246
10.3976,379.017
10.5601,379.291
10.7225,372.303
10.8850,376.922
11.0474,374.983
11.2099,373.316
11.3724,355.956
11.5348,358.710
11.6973,359.199
11.8598,341.026
12.0222,340.906
12.1847,339.987
12.3471,333.681
12.5096,342.401
12.6721,345.653
12.8345,336.250
12.9970,321.957
13.1595,317.047
13.3219,308.878
13.4844,308.399
13.6468,313.170
13.8093,322.191
13.9718,342.408
14.1342,349.029
14.2967,351.446
14.4592,382.522
14.6216,378.136
14.7841,381.813
14.9465,415.783
15.1090,424.768
15.2715,432.809
15.4339,430.343
15.5964,437.516
15.7589,434.531
15.9213,455.213
16.0838,467.229
16.2462,434.433
16.4087,439.854
16.5712,439.173
16.7336,468.172
16.8961,494.797
17.0586,502.711
17.2210,541.224
17.3835,537.695
17.5459,541.156
17.7084,549.432
17.8709,559.084
18.0333,586.051
18.1958,610.736
18.3583,606.461
18.5207,629.749
18.6832,622.408
18.8456,616.587
19.0081,612.563
19.1706,608.201
19.3330,599.780
19.4955,608.533
19.6580,629.845
19.8204,650.038
19.9829,599.737
20.1453,604.156
20.3078,617.062
20.4703,631.486
20.6327,617.899
20.7952,597.108
20.9577,598.404
21.1201,578.853
21.2826,562.204
21.4450,552.479
21.6075,553.216
21.7700,551.807
21.9324,505.273
22.0949,503.389
22.2574,464.945
22.4198,474.741
22.5823,467.343
22.7447,452.410
22.9072,428.098
23.0697,419.177
23.2321,425.121
23.3946,408.859
23.5571,413.832
23.7195,409.513
23.8820,426.179
24.0444,406.135
24.2069,422.869
24.3694,430.507
24.5318,414.851
24.6943,407.747
24.8568,417.769
25.0192,437.641
25.1817,426.292
25.3441,403.160
25.5066,405.509
25.6691,415.781
25.8315,419.213
25.9940,443.181
26.1565,453.768
26.3189,447.588
26.4814,443.026
26.6438,461.163
26.8063,457.363
26.9688,483.618
27.1312,490.914
27.2937,481.518
27.4562,480.927
27.6186,463.556
27.7811,449.647
27.9435,442.725
28.1060,401.547
28.2685,371.547
28.4309,343.295
28.5934,305.120
28.7559,297.466
28.9183,275.363
29.0808,262.368
29.2432,259.545
29.4057,254.820
29.5682,235.358
29.7306,239.915
29.8931,239.311
30.0556,237.050
30.2180,242.460
30.3805,219.759
30.5429,210.142
30.7054,210.660
30.8679,196.033
31.0303,181.372
31.1928,174.765
31.3553,174.663
31.5177,155.226
31.6802,155.337
31.8426,142.604
32.0051,139.106
32.1676,140.380
32.3300,133.220
32.4925,135.232
32.6549,143.048
32.8174,140.879
32.9799,128.712
