Distance_(microns),Gray_Value
0.0000,134.9239
0.1625,147.0950
0.3249,158.7121
0.4874,155.3930
0.6498,162.9930
0.8123,173.3243
0.9748,172.3073
1.1372,164.1616
1.2997,162.9935
1.4622,164.4026
1.6246,167.7227
1.7871,163.1195
1.9495,157.9532
2.1120,152.0942
2.2745,152.1159
2.4369,154.5899
2.5994,151.1736
2.7619,151.3184
2.9243,155.1855
3.0868,153.3347
3.2492,154.3950
3.4117,155.0130
3.5742,156.7085
3.7366,153.7369
3.8991,147.3148
4.0616,149.7923
4.2240,146.2929
4.3865,145.5961
4.5489,155.4886
4.7114,159.2217
4.8739,153.4610
5.0363,153.8721
5.1988,158.0748
5.3613,165.0119
5.5237,152.8246
5.6862,161.8830
5.8486,164.5663
6.0111,157.2796
6.1736,155.6381
6.3360,157.2403
6.4985,151.0414
6.6610,151.3731
6.8234,156.6959
6.9859,160.0046
7.1483,157.2249
7.3108,161.0381
7.4733,169.8865
7.6357,166.0768
7.7982,161.4612
7.9607,161.5469
8.1231,164.0470
8.2856,169.8165
8.4480,168.1758
8.6105,173.6823
8.7730,165.9786
8.9354,164.3356
9.0979,165.9163
9.2604,166.9084
9.4228,171.3906
9.5853,164.6865
9.7477,160.8073
9.9102,164.2837
10.0727,168.1444
10.2351,167.6339
10.3976,165.7878
10.5601,163.7797
10.7225,161.2190
10.8850,164.0169
11.0474,164.2238
11.2099,167.3822
11.3724,165.6399
11.5348,161.5225
11.6973,161.3877
11.8598,161.1689
12.0222,158.8830
12.1847,160.6636
12.3471,165.4602
12.5096,160.6532
12.6721,157.8298
12.8345,159.1468
12.9970,162.5288
13.1595,160.6867
13.3219,163.5770
13.4844,152.5950
13.6468,162.6373
13.8093,165.8804
13.9718,157.2095
14.1342,155.2491
14.2967,154.8211
14.4592,158.6767
14.6216,159.4156
14.7841,157.5560
14.9465,154.8709
15.1090,154.1378
15.2715,160.8214
15.4339,154.2719
15.5964,155.1080
15.7589,168.0500
15.9213,162.2250
16.0838,159.9422
16.2462,165.0774
16.4087,164.3869
16.5712,165.0777
16.7336,161.7814
16.8961,165.1479
17.0586,164.3878
17.2210,169.0366
17.3835,175.2678
17.5459,177.1960
17.7084,180.3206
17.8709,177.2553
18.0333,176.4830
18.1958,183.2393
18.3583,190.7840
18.5207,186.2079
18.6832,176.7062
18.8456,179.6954
19.0081,180.0762
19.1706,182.5144
19.3330,184.2886
19.4955,180.2003
19.6580,187.7856
19.8204,190.6372
19.9829,186.5444
20.1453,188.7429
20.3078,189.4623
20.4703,183.5224
20.6327,189.4908
20.7952,190.1022
20.9577,182.0656
21.1201,184.7956
21.2826,183.0706
21.4450,188.1588
21.6075,183.2379
21.7700,186.1128
21.9324,182.9183
22.0949,174.2922
22.2574,187.0648
22.4198,184.1287
22.5823,183.8197
22.7447,182.2725
22.9072,169.8585
23.0697,167.0604
23.2321,174.5244
23.3946,165.6724
23.5571,168.6499
23.7195,178.6658
23.8820,161.9245
24.0444,163.3738
24.2069,172.7561
24.3694,169.7142
24.5318,180.0286
24.6943,171.1276
24.8568,185.6163
25.0192,177.9896
25.1817,167.9960
25.3441,173.7389
25.5066,175.7732
25.6691,168.5858
25.8315,186.7920
25.9940,170.8828
26.1565,168.4438
26.3189,168.7132
26.4814,163.8952
26.6438,170.4234
26.8063,168.9537
26.9688,176.8165
27.1312,169.1661
27.2937,167.2717
27.4562,169.5192
27.6186,172.1164
27.7811,171.2947
27.9435,166.9764
28.1060,169.9491
28.2685,163.1855
28.4309,161.1203
28.5934,152.6739
28.7559,162.3575
28.9183,159.3097
29.0808,160.1359
29.2432,154.0484
29.4057,155.7112
29.5682,158.8039
29.7306,159.2770
29.8931,162.1287
30.0556,156.3600
30.2180,159.4227
30.3805,157.8943
30.5429,160.6194
30.7054,165.1013
30.8679,155.2492
31.0303,156.4928
31.1928,162.1558
31.3553,163.2069
31.5177,161.3183
31.6802,155.8600
31.8426,160.7967
32.0051,158.7593
32.1676,167.3076
32.3300,162.8255
32.4925,157.4573
32.6549,147.6396
32.8174,143.1340
32.9799,130.5547
