Distance_(microns),Gray_Value
0.0000,119.888
0.1625,119.696
0.3249,123.592
0.4874,124.932
0.6498,128.213
0.8123,135.159
0.9748,137.950
1.1372,135.027
1.2997,132.143
1.4622,133.435
1.6246,141.706
1.7871,145.414
1.9495,142.893
2.1120,148.922
2.2745,157.550
2.4369,168.418
2.5994,170.545
2.7619,179.052
2.9243,192.149
3.0868,207.787
3.2492,216.599
3.4117,227.202
3.5742,235.231
3.7366,227.683
3.8991,226.247
4.0616,232.631
4.2240,245.231
4.3865,264.089
4.5489,250.064
4.7114,249.264
4.8739,250.314
5.0363,235.681
5.1988,240.507
5.3613,242.927
5.5237,236.676
5.6862,231.996
5.8486,237.627
6.0111,232.839
6.1736,222.458
6.3360,209.388
6.4985,205.889
6.6610,192.139
6.8234,195.740
6.9859,206.334
7.1483,209.230
7.3108,232.128
7.4733,236.365
7.6357,224.624
7.7982,236.864
7.9607,258.690
8.1231,280.284
8.2856,295.372
8.4480,288.067
8.6105,297.629
8.7730,302.861
8.9354,296.841
9.0979,300.152
9.2604,312.230
9.4228,310.271
9.5853,302.234
9.7477,316.529
9.9102,318.820
10.0727,330.871
10.2351,323.720
10.3976,307.412
10.5601,317.654
10.7225,312.806
10.8850,324.953
11.0474,316.754
11.2099,301.340
11.3724,304.160
11.5348,291.075
11.6973,296.553
11.8598,291.939
12.0222,298.980
12.1847,302.591
12.3471,297.772
12.5096,309.251
12.6721,307.355
12.8345,303.781
12.9970,316.892
13.1595,288.079
13.3219,284.871
13.4844,272.841
13.6468,287.967
13.8093,274.158
13.9718,279.057
14.1342,275.082
14.2967,285.167
14.4592,301.946
14.6216,290.010
14.7841,285.392
14.9465,279.070
15.1090,282.559
15.2715,311.986
15.4339,304.459
15.5964,308.007
15.7589,303.115
15.9213,344.482
16.0838,351.932
16.2462,358.912
16.4087,349.128
16.5712,359.102
16.7336,346.268
16.8961,353.026
17.0586,351.457
17.2210,379.495
17.3835,379.696
17.5459,395.849
17.7084,412.079
17.8709,396.475
18.0333,410.556
18.1958,426.279
18.3583,439.303
18.5207,448.540
18.6832,445.517
18.8456,444.465
19.0081,448.149
19.1706,485.416
19.3330,472.617
19.4955,484.148
19.6580,497.157
19.8204,482.847
19.9829,489.368
20.1453,477.289
20.3078,470.544
20.4703,474.983
20.6327,487.959
20.7952,486.253
20.9577,494.149
21.1201,484.440
21.2826,451.990
21.4450,465.707
21.6075,473.044
21.7700,471.444
21.9324,477.485
22.0949,486.552
22.2574,466.792
22.4198,462.292
22.5823,473.352
22.7447,474.632
22.9072,452.321
23.0697,468.275
23.2321,466.852
23.3946,452.599
23.5571,447.617
23.7195,417.853
23.8820,434.215
24.0444,434.995
24.2069,447.240
24.3694,439.932
24.5318,440.432
24.6943,426.761
24.8568,455.418
25.0192,475.749
25.1817,491.594
25.3441,473.406
25.5066,461.752
25.6691,450.287
25.8315,439.681
25.9940,407.041
26.1565,427.069
26.3189,420.281
26.4814,415.386
26.6438,435.433
26.8063,411.349
26.9688,412.763
27.1312,405.440
27.2937,393.157
27.4562,391.104
27.6186,398.994
27.7811,350.093
27.9435,337.353
28.1060,313.737
28.2685,299.421
28.4309,301.539
28.5934,282.499
28.7559,264.470
28.9183,263.711
29.0808,276.390
29.2432,272.595
29.4057,279.433
29.5682,310.592
29.7306,327.305
29.8931,332.492
30.0556,345.169
30.2180,350.776
30.3805,348.140
30.5429,366.917
30.7054,357.331
30.8679,336.502
31.0303,327.608
31.1928,324.510
31.3553,306.735
31.5177,282.740
31.6802,243.819
31.8426,218.094
32.0051,196.565
32.1676,172.886
32.3300,156.278
32.4925,140.705
32.6549,137.804
32.8174,131.665
32.9799,116.250
